CN,RA,JC,AA,PA,Label
6,0.0021228597846394857,0.00025904498747949227,0.7088805167590135,393567,1
6,0.0004569502525355143,8.338892595063375e-05,0.5916531845325206,863352,1
31,0.0013946241806828648,0.0005173478413244105,2.948132372675796,2156976,1
15,0.0014197615392224628,0.0038461538461538464,1.4984682185438445,200876,1
7,0.00023059014395618072,0.0002614769713495947,0.6659879921214774,428192,1
3,5.958922262338509e-05,5.22839366318688e-05,0.27401851706318037,401625,1
7,0.00040513586294531985,7.997989077032061e-05,0.6971142621311299,1137708,1
60,0.0017386736980076675,0.0009548666369597047,5.660210757431518,4146780,1
81,0.015600952900477432,0.008689122505900022,9.28243311522249,902682,1
14,0.0016546611776343855,0.00015645080181035927,1.4325439992040834,2236850,1
32,0.0040102580593192935,0.009595202398800599,3.3131556424880872,567642,1
0,0,0.0,0,1956,1
3,0.0003175618595173303,0.00012858428700012858,0.312192891283836,186608,1
0,0,0.0,0,271808,1
0,0,0.0,0,824240,1
13,0.0006950196757240859,0.00235464589748234,1.2099059690769332,148689,1
62,0.002243532070059001,0.0010677321025711678,5.86060201272897,3948148,1
0,0,0.0,0,68895,1
55,0.007460647624093003,0.0004994778186441448,5.776199475481036,7156825,1
266,0.052564053563171766,0.03654850233580654,29.085857677533948,6168063,1
0,0,0.0,0,824240,1
71,0.014330274039303958,0.012665001783803068,8.161089790619457,436722,1
19,0.002546273866737161,0.0005654257060381514,1.9379641752190098,806352,1
0,0,0.0,0,371671,1
0,0,0.0,0,3028,1
40,0.003295020180994122,0.0016932650383101216,3.915918544138838,2989072,1
12,0.001835077571598879,0.008843036109064112,1.2479307896209006,112728,1
22,0.04977188175942749,0.01921397379912664,3.388309606810025,338402,1
45,0.001540591498357863,0.0007540214477211796,4.207668532055528,3460686,1
0,0,0.0,0,743342,1
0,0,0.0,0,61844,1
9,0.00013756267160524742,0.00013453920322894087,0.8057390347132253,1003335,1
172,0.011171280524323337,0.0035775198635550564,17.054505338318336,13908400,1
34,0.0071760661438274335,0.009979454065159965,3.6258852269844133,490508,1
59,0.0015982676272740816,0.002068868784627253,5.490961397883744,2705790,1
1,0.0001490757304710793,0.0010845986984815619,0.1134937726019133,12726,1
24,0.0032905032491721167,0.035036496350364967,2.5878612673575208,91998,1
0,0,0.0,0,509690,1
65,0.0021572458294970244,0.0013549288141246117,6.076834251990629,3740880,1
839,11.562457298520563,0.0444691789897705,170.34749457012649,58827384,1
0,0,0.0,0,74742,1
1,0.0035587188612099642,0.0007993605115907274,0.17735670397587186,2500,1
1,6.367317831036854e-06,3.6790405062359737e-06,0.08358176452866961,815424,1
32,0.002122394443635944,0.016137165910237016,3.1253962021513946,186046,1
1,4.8654697611054344e-05,0.00011346873936230568,0.1006972053501205,140768,1
45,0.005647596643625144,0.0005140154890000686,4.49201765011469,6563700,1
3,0.0023624491664513297,0.00042967631051274706,0.37901975437683183,146244,1
0,0,0.0,0,9114,1
80,0.00620864332766358,0.0024366471734892786,8.058120409122898,4522812,1
66,0.007551744135196171,0.0005992917461182239,6.780732028199544,10019555,1
1,1.3112054304884109e-06,2.49697865582645e-06,0.07383035914027619,800966,1
0,0,0.0,0,762657,1
51,0.0029014095403551605,0.00042736117046682925,4.964848802367026,7278947,1
9,0.00040720328012827265,0.0009610250934329952,0.881455263318527,364065,1
1,7.527853056308341e-05,1.3112037112309842e-06,0.10532618084062449,1525314,1
94,0.008665844436654552,0.00419586662500558,9.555396040831086,5605740,1
0,0,0.0,0,48468,1
2,0.00010037868627537475,5.6431816258006264e-05,0.20201128345179864,106320,1
0,0,0.0,0,371671,1
42,0.010303273233932986,0.017902813299232736,5.004802505950987,211232,1
1,0.0001088020890001088,1.3112019919780661e-06,0.10957727251653872,2287971,1
35,0.10085235616696919,0.015541740674955595,4.834038779968948,563686,1
28,0.001682324079638238,0.0005775458427012644,2.697584607623744,1987188,1
4,6.232403019616743e-05,0.00010781961777945497,0.36131587888110756,185490,1
7,0.0001873235754181351,7.823326925656042e-05,0.6329425675082765,805266,1
19,0.0005288773844370302,0.003937007874015748,1.7677767862820504,211244,1
13,0.0003427044117665363,0.002359774913777455,1.2016344269212484,99072,1
0,0,0.0,0,3625,1
90,0.006159920722481016,0.006650901566656813,8.990295409309299,3774937,1
1,0.00044169611307420494,0.00025329280648429586,0.12945170766603709,82488,1
1,0.0008389261744966443,0.00015124016938898973,0.1411753840833733,13222,1
1,2.496984890744426e-06,0.0001232134056185313,0.07751681639600151,32452,1
3,0.0005231275747993701,0.00030521924916064705,0.33911063400327723,78592,1
0,0,0.0,0,71856,1
1,3.6790675771132564e-06,1.961973038566504e-06,0.07991783670433865,1019380,1
2,3.377478000649438e-05,0.00015861686097232136,0.18161873638012588,63030,1
4,0.002790219637134822,0.001260239445494644,0.5127407966607832,113112,1
22,0.000986738876169094,0.0021174205967276227,2.085514465645952,394212,1
31,0.0034080459313327537,0.0006393070736234275,3.140266740419846,2568804,1
2,0.00012909040297712782,7.429972509101716e-05,0.18537268292593476,80751,1
2077,13.983948971044445,0.03627947598253275,384.31592055527295,388746826,1
90,0.019682028616937127,0.018086816720257234,10.406185248299158,545160,1
96,0.00486198202108253,0.016172506738544475,9.339958652996202,1070367,1
0,0,0.0,0,144669,1
1,0.0029069767441860465,0.0020964360587002098,0.1712140649371239,1425,1
16,0.0005795260472314153,0.00016587014441069449,1.5060203550881444,2025576,1
43,0.0019576709231765065,0.0018693213928618006,4.166729860857322,1791504,1
30,0.002769919190529187,0.0002694038093698645,2.9937877309106904,4899092,1
76,0.01122086598623847,0.015576962492313998,7.932842981437005,1109200,1
184,0.046025128059992114,0.02576309157098852,20.196536509906796,4543128,1
10,0.00019152969847684775,0.0016644474034620505,0.8786829881081845,113981,1
39,0.0009867483704733787,0.004182305630026809,3.589903140809704,539748,1
40,0.0023739652915776314,0.0006703199101771321,3.920396283929733,2744682,1
247,0.03294423633101312,0.005912344112789334,26.02004407796042,34755920,1
15,0.01348775886011062,0.010046885465505693,2.0286315261147476,52992,1
1,1.3112054304884109e-06,0.0006983240223463687,0.07383035914027619,5716,1
110,0.006387002830277973,0.003024969750302497,10.803088245932187,6569033,1
101,0.013733485878819656,0.007059481372754596,10.247168832850573,3009552,1
2,3.082621769293543e-05,0.0003497726477789437,0.18048276426063273,238476,1
44,1.1495848525569987,0.04296875,10.78899215582361,206756,1
76,0.004154537282089942,0.0014234075627891298,7.2654309397912815,4804110,1
0,0,0.0,0,119349,1
42,0.0037770404819103655,0.0005099439061703213,4.189845630811559,4117700,1
1,0.0005042864346949068,0.0012515644555694619,0.13171124562125924,2391,1
1,8.56179044161715e-06,1.7428586367359744e-05,0.08570301288399909,172125,1
4,0.00011766083405549833,0.0003108003108003108,0.36567831290333747,141493,1
0,0,0.0,0,354,1
1,2.496984890744426e-06,0.00088261253309797,0.07751681639600151,16785,1
3,7.22420449261351e-05,8.074500726705065e-05,0.27076183954716915,705622,1
6,0.0010226544995731639,0.00034979303911852156,0.6339347471374467,188628,1
41,0.03829195092401122,0.0015952065987082718,5.502923476525102,2078622,1
8,0.0001809023800080085,0.00023805981252789763,0.7077475219289487,503970,1
0,0,0.0,0,356169,1
0,0,0.0,0,26354,1
86,0.003568285079017491,0.0011659910245807178,8.184612745226625,9729852,1
1,0.00015213753232922562,9.308386856557759e-05,0.11375625201915544,21484,1
43,0.009666561989713322,0.0016737378848624032,4.507798619144653,1847664,1
40,0.0034696644282331025,0.0002897689816793561,3.922324845011314,7591430,1
0,0,0.0,0,509690,1
57,0.011551522094875073,0.02138034508627157,6.270294743395634,495292,1
0,0,0.0,0,762657,1
0,0,0.0,0,27900,1
13,0.00023107359720690225,0.00020121658643800207,1.152114515665188,904484,1
27,0.001591406595005315,0.0021369212504946575,2.557384199233272,705936,1
1,0.00044863167339614175,2.690544350933081e-06,0.129713322746401,743342,1
23,0.0008590251681949709,0.00038002709758434947,2.1551793629611598,1573494,1
1,0.0019723865877712033,0.006896551724137931,0.16055201627217616,1104,1
0,0,0.0,0,47816,1
280,1.0282397036330546,0.027319738511074252,43.50801287718816,15767568,1
5,0.0006976220178329867,0.00024088259382377028,0.5355862626693715,476997,1
0,0,0.0,0,1140,1
5,0.027235937315723928,0.02512562814070352,0.8860813948906777,4004,1
0,0,0.0,0,3906,1
1,3.5501278046009656e-05,0.0008695652173913044,0.09759961686123751,11410,1
0,0,0.0,0,705,1
18,0.00025298600123095514,0.00881488736532811,1.6011008433306189,129675,1
22,0.000380612985820379,0.01566951566951567,1.9838445077600895,105144,1
48,0.0016287859347580815,0.0008363972189792469,4.545434221426742,3557250,1
31,0.001759862803026443,0.0003763963088878096,3.061412927523223,3047098,1
104,0.030792784969019413,0.0026722853178477823,11.786207004080852,13036845,1
44,0.004954864339735705,0.006506950606329488,4.437097623689958,867880,1
0,0,0.0,0,824240,1
73,0.078392572047493,0.0042431992559869795,9.946502105383145,2212092,1
22,0.1758941513090615,0.0013298676177235084,3.361203877894693,2022366,1
27,0.001891951276147748,0.000342626549750644,2.5600637317405797,2285229,1
0,0,0.0,0,2300,1
